,src,question,prompt,response,id,target,participant,response_num,count,split
6529,betal18,What is a surprising use for a ROPE?,rope,fibers for fabric,betal18_rope-6f25,1.9,betal182181,,,train
6530,motesf,What is a surprising use for a LIGHT BULB?,lightbulb,electric circuit,motesf_lightbulb-426f,3.0,motesf5823,7,,train
6531,dod20,What is a surprising use for a BOOK?,book,rip pages to start fire,dod20_book-2675,3.0,dod2089,0,,train
6532,motesp,What is a surprising use for a BALL?,ball,Make a domino set with the ball starting the chain reaction.,motesp-g1_ball-32OP,3.4,32OP,,,train
6533,hmsl,What is a surprising use for a BRICK?,brick,as a stop stool,hmsl_brick-0180,1.8,hmslns93rRC6,3.0,,train
6534,hmsl,What is a surprising use for a PAPERCLIP?,paperclip,to reset a toy,hmsl_paperclip-4228,2.5,hmslSf3Ci2rQ,3.0,,train
6535,dod20,What is a surprising use for a BOTTLE?,bottle,as a shovel,dod20_bottle-8667,4.3,dod2092,4,,train
6536,betal18,What is a surprising use for a ROPE?,rope,for a game,betal18_rope-677f,1.3,betal182048,,,train
6537,bs12,What is a surprising use for a BRICK?,brick,a hammer,bs12_brick-4670,1.8,bs1224,,4.0,train
6538,snbmo09,What is a surprising use for a BOX?,box,box can make houses for small animals,snbmo09_box-0e78,1.5,snbmo09102,1,,train
6539,snbmo09,What is a surprising use for a BOX?,box,put stuff on top of it and use it for a stand,snbmo09_box-675a,1.5,snbmo09167,6,,train
6540,bs12,What is a surprising use for a BRICK?,brick,to scratch the car of someone that you do not like,bs12_brick-4e31,1.4,bs12124,,,train
6541,motesf,What is a surprising use for a BALL?,ball,You can cut it out to make some sort of case.,motesf_ball-d5e0,3.3,motesfa8ba,1,,train
6542,dod20,What is a surprising use for a SHOE?,shoe,to decorate a room,dod20_shoe-78f9,3.3,dod202,3,,train
6543,dod20,What is a surprising use for a ROPE?,rope,ladder to treehouse,dod20_rope-3bb7,2.5,dod2062,10,,train
6544,hmsl,What is a surprising use for a BRICK?,brick,to color with chalk on,hmsl_brick-1410,3.8,hmsle1t22a36,5.0,,train
6545,hmsl,What is a surprising use for a BRICK?,brick,to hold down plastic tarps,hmsl_brick-80d1,1.8,hmslw07hiE91,13.0,,train
6546,dod20,What is a surprising use for a BOTTLE?,bottle,kill someone,dod20_bottle-e6a0,3.8,dod208,13,,train
6547,dod20,What is a surprising use for a BOOK?,book,record events,dod20_book-c59d,2.0,dod2039,3,,train
6548,snbmo09,What is a surprising use for a BRICK?,brick,paint it different colors and use it in a doorstop,snbmo09_brick-0a62,1.5,snbmo09166,1,,train
6549,setal08,What is a surprising use for a BRICK?,brick,construction,setal08_brick-8b8c,1.0,setal0895,3.0,,train
6550,bs12,What is a surprising use for a BRICK?,brick,have a pet,bs12_brick-a600,1.4,bs1277,,,train
6551,snbmo09,What is a surprising use for a BOX?,box,use it to sit on,snbmo09_box-ba26,1.7,snbmo09109,13,,train
6552,snbmo09,What is a surprising use for a BOX?,box,sleeping in,snbmo09_box-d6ac,1.5,snbmo09181,5,,train
6553,dod20,What is a surprising use for a SHOVEL?,shovel,to beat cement,dod20_shovel-3572,2.0,dod2025,0,,train
6554,dod20,What is a surprising use for a TABLE?,table,drawing,dod20_table-60fe,1.5,dod2068,1,,train
6555,setal08,What is a surprising use for a BRICK?,brick,throw through a window,setal08_brick-5a09,1.5,setal08115,2.0,2.0,train
6556,setal08,What is a surprising use for a KNIFE?,knife,slicing,setal08_knife-5575,1.0,setal08101,2.0,2.0,train
6557,betal18,What is a surprising use for a BOX?,box,Stepping stool for a little person,betal18_box-5e27,1.0,betal182083,,,train
6558,snbmo09,What is a surprising use for a BOX?,box,a place to hide,snbmo09_box-f6cd,1.5,snbmo0958,6,,train
6559,hmsl,What is a surprising use for a PAPERCLIP?,paperclip,self defense device?  unfolded it can hurt!,hmsl_paperclip-d4bb,3.5,hmslH6CjN8B9,3.0,,train
6560,setal08,What is a surprising use for a BRICK?,brick,practice painting,setal08_brick-ecbe,2.0,setal0812,4.0,2.0,train
6561,dod20,What is a surprising use for a TIRE?,tire,make a community garden,dod20_tire-ea52,3.2,dod2013,3,,train
6562,hmsl,What is a surprising use for a PAPERCLIP?,paperclip,to hold together a necklace,hmsl_paperclip-a03f,1.7,hmslPeidosaO,1.0,,train
6563,motesf,What is a surprising use for a TOOTHBRUSH?,toothbrush,rubbing it on your face,motesf_toothbrush-7e00,2.7,motesf0613,1,,train
6564,snbmo09,What is a surprising use for a KNIFE?,knife,stab it into the wall and use it as a coat hanger,snbmo09_knife-c2d1,2.0,snbmo09166,2,,train
6565,motesf,What is a surprising use for a BOTTLE?,bottle,get a bottle and scissors and tape and put it all together and you got a rain haha,motesf_bottle-d146,3.3,motesfc16a,5,,train
6566,setal08,What is a surprising use for a KNIFE?,knife,dig a grave,setal08_knife-036a,1.7,setal08216,7.0,,train
6567,snb17,What is a surprising use for a BOX?,box,airplane,snb17_box-7201,2.0,snb1731,,3.0,train
6568,betal18,What is a surprising use for a BOX?,box,to build a mini city,betal18_box-b1e5,3.0,betal182131,,,train
6569,motesf,What is a surprising use for a BALL?,ball,cut a hole in it and use it as a cup,motesf_ball-15d7,3.0,motesfa684,2,,train
6570,setal08,What is a surprising use for a BRICK?,brick,build steps,setal08_brick-6a68,1.0,setal08115,10.0,2.0,train
6571,bs12,What is a surprising use for a BRICK?,brick,Hide a spare key to your house under it,bs12_brick-0c92,2.2,bs12120,,,train
6572,dod20,What is a surprising use for a SHOE?,shoe,use soles for grip-feet on objects,dod20_shoe-0a60,2.3,dod2087,2,,train
6573,hmsl,What is a surprising use for a PAPERCLIP?,paperclip,poke somebody,hmsl_paperclip-3eca,1.5,hmsl25D5c5m2,8.0,,train
6574,setal08,What is a surprising use for a KNIFE?,knife,stab into ground for creating mosaic effect,setal08_knife-7d0a,2.0,setal0889,3.0,,train
6575,snbmo09,What is a surprising use for a KNIFE?,knife,shave with a knife,snbmo09_knife-2245,1.0,snbmo0923,3,,train
6576,motesf,What is a surprising use for a BALL?,ball,you can cut it and make it a purse,motesf_ball-97cd,3.0,motesf4918,8,,train
6577,betal18,What is a surprising use for a ROPE?,rope,tie something together,betal18_rope-8bcf,1.0,betal182084,,,train
6578,snbmo09,What is a surprising use for a BRICK?,brick,a kid's toy,snbmo09_brick-d360,2.0,snbmo09163,10,,train
6579,dod20,What is a surprising use for a BOTTLE?,bottle,holding liquid,dod20_bottle-5fcc,1.0,dod2035,1,,train
6580,motesf,What is a surprising use for a BOTTLE?,bottle,to put toys in it and then put water in it and freeze it in a freezer.,motesf_bottle-bd2d,2.7,motesfbcbe,5,,train
6581,bs12,What is a surprising use for a BRICK?,brick,fetch toy for a gigantic dog,bs12_brick-eb40,2.6,bs1250,,,train
6582,betal18,What is a surprising use for a ROPE?,rope,long distance phone,betal18_rope-cfa3,2.7,betal182047,,,train
6583,motesf,What is a surprising use for a LIGHT BULB?,lightbulb,put my brother's candy in there,motesf_lightbulb-b293,3.6,motesfb2eb,7,,train
6584,dod20,What is a surprising use for a FORK?,fork,dig small holes with it for planting seeds,dod20_fork-a0c5,2.8,dod2050,20,,train
6585,dod20,What is a surprising use for a FORK?,fork,scoop dog food,dod20_fork-5e20,2.7,dod2041,5,,train
6586,snbmo09,What is a surprising use for a BOX?,box,make a frame for a large picture,snbmo09_box-e3ab,2.5,snbmo0949,9,,train
6587,dod20,What is a surprising use for a BOTTLE?,bottle,to use as house decoration,dod20_bottle-08a1,2.5,dod202,6,,train
6588,betal18,What is a surprising use for a BOX?,box,cut it and fold it into an umbrella to keep you dry,betal18_box-d05f,2.4,betal182042,,,train
6589,dod20,What is a surprising use for a FORK?,fork,plant market,dod20_fork-39f3,2.5,dod2034,1,,train
6590,setal08,What is a surprising use for a BRICK?,brick,use it to break something (glass),setal08_brick-7d46,1.3,setal08144,2.0,,train
6591,snbmo09,What is a surprising use for a BOX?,box,to breakdance on,snbmo09_box-ac06,2.0,snbmo0976,4,,train
6592,bs12,What is a surprising use for a BRICK?,brick,massage therapy,bs12_brick-5b57,2.6,bs1255,,,train
6593,dod20,What is a surprising use for a TABLE?,table,turn on its side and hide behind,dod20_table-ba11,4.0,dod2071,6,,train
6594,snb17,What is a surprising use for a BOX?,box,tie the to a string and walk it like a dog,snb17_box-0cd9,3.0,snb1794,,,train
6595,snb17,What is a surprising use for a ROPE?,rope,to fly in air,snb17_rope-cd9f,1.3,snb1718,,,train
6596,betal18,What is a surprising use for a BOX?,box,Clothing,betal18_box-a216,1.1,betal182166,,3.0,train
6597,dod20,What is a surprising use for PANTS?,pants,use them to clean up a spill,dod20_pants-8e55,2.2,dod2015,2,,train
6598,hmsl,What is a surprising use for a PAPERCLIP?,paperclip,button repair,hmsl_paperclip-99e3,2.5,hmslU4KevCk0,4.0,,train
6599,snbmo09,What is a surprising use for a BRICK?,brick,to make a fountain,snbmo09_brick-c9b9,1.7,snbmo09184,3,,train
6600,motesf,What is a surprising use for a BOTTLE?,bottle,cut it in half and flip the top piece over and put it on the other piece and use it as a dispenser.,motesf_bottle-a345,3.3,motesff61d,5,,train
6601,motesp,What is a surprising use for a BACKPACK?,backpack,You can give it to someone for school.,motesp-g1_backpack-24ES,1.7,24ES,,,train
6602,betal18,What is a surprising use for a BOX?,box,use the as stairs like clouds in Mario video games,betal18_box-c0d0,3.0,betal182117,,,train
6603,snbmo09,What is a surprising use for a KNIFE?,knife,to make a lamp out of,snbmo09_knife-48fa,3.0,snbmo0912,7,,train
6604,snbmo09,What is a surprising use for a BRICK?,brick,beating someone,snbmo09_brick-a40e,1.7,snbmo0987,2,,train
6605,hmsl,What is a surprising use for a PAPERCLIP?,paperclip,To use for art projects,hmsl_paperclip-cb80,2.5,hmslPMZgifGA,3.0,,train
6606,dod20,What is a surprising use for a BOTTLE?,bottle,han,dod20_bottle-5cf3,1.0,dod2082,4,,train
6607,setal08,What is a surprising use for a BRICK?,brick,break it into a little pieces,setal08_brick-7dab,1.3,setal08145,9.0,,train
6608,hmsl,What is a surprising use for a BRICK?,brick,Streets,hmsl_brick-482c,1.0,hmsl2nxx6Yf9,7.0,,train
6609,bs12,What is a surprising use for a BRICK?,brick,Emergency brake for your car,bs12_brick-352f,1.0,bs12120,,,train
6610,dod20,What is a surprising use for a FORK?,fork,to use as an electric conductor,dod20_fork-0dc8,3.3,dod2066,3,,train
6611,hmsl,What is a surprising use for a BRICK?,brick,break up with hammer for aquarium decor,hmsl_brick-8944,3.2,hmslkXD3Pswy,5.0,,train
6612,dod20,What is a surprising use for a BOOK?,book,protection,dod20_book-f4bc,3.7,dod2062,3,,train
6613,snbmo09,What is a surprising use for a BRICK?,brick,a pet (similar to a pet rock),snbmo09_brick-a5a8,2.7,snbmo0965,3,,train
6614,snbmo09,What is a surprising use for a BOX?,box,"play with it, use it as a house",snbmo09_box-8eb5,1.5,snbmo09167,2,,train
6615,setal08,What is a surprising use for a BRICK?,brick,step stool,setal08_brick-fcc2,1.7,setal08199,4.0,13.0,train
6616,setal08,What is a surprising use for a KNIFE?,knife,use it as a baseball bat,setal08_knife-d090,2.3,setal08213,4.0,,train
6617,dod20,What is a surprising use for a SHOVEL?,shovel,killing a snake,dod20_shovel-a786,3.0,dod2090,6,,train
6618,dod20,What is a surprising use for a TABLE?,table,gather around with others,dod20_table-f727,1.7,dod2011,2,,train
6619,snbmo09,What is a surprising use for a KNIFE?,knife,can write on cement/scrape,snbmo09_knife-e574,2.0,snbmo0914,3,,train
6620,motesf,What is a surprising use for a BOTTLE?,bottle,a bowl,motesf_bottle-48d0,3.0,motesfa5e0,8,,train
6621,snb17,What is a surprising use for a ROPE?,rope,to hang thyself with,snb17_rope-03e3,2.0,snb173,,,train
6622,motesf,What is a surprising use for a TOOTHBRUSH?,toothbrush,scrub the floors with it,motesf_toothbrush-8821,2.4,motesff221,8,,train
6623,betal18,What is a surprising use for a BOX?,box,organizing,betal18_box-b321,1.0,betal182076,,,train
6624,betal18,What is a surprising use for a BOX?,box,put between you and someone you don't want to talk to,betal18_box-e9a7,2.7,betal182041,,,train
6625,snbmo09,What is a surprising use for a KNIFE?,knife,as a compass,snbmo09_knife-80eb,3.0,snbmo0976,8,,train
6626,snb17,What is a surprising use for a ROPE?,rope,Carrier,snb17_rope-965f,1.0,snb1768,,,train
6627,snb17,What is a surprising use for a ROPE?,rope,Mountain climbing,snb17_rope-5eed,1.3,snb17148,,,train
6628,motesf,What is a surprising use for a HAT?,hat,put it on your arm,motesf_hat-f24b,2.1,motesf9bf3,5,,train
6629,snbmo09,What is a surprising use for a BOX?,box,grow flowers out of,snbmo09_box-0735,2.3,snbmo0974,2,,train
6630,snbmo09,What is a surprising use for a BOX?,box,flip it upside down while open and you could use it to cover something or protect it,snbmo09_box-c2dc,2.3,snbmo0921,6,,train
6631,dod20,What is a surprising use for a BOTTLE?,bottle,line the path of a garden,dod20_bottle-25e9,4.0,dod2018,3,,train
6632,dod20,What is a surprising use for PANTS?,pants,spread out and use as a rope or lifeline,dod20_pants-6076,3.0,dod2071,3,,train
6633,snbmo09,What is a surprising use for a BOX?,box,something to break dance on,snbmo09_box-1606,2.0,snbmo0990,5,,train
6634,snbmo09,What is a surprising use for a BRICK?,brick,build a fire,snbmo09_brick-e478,1.5,snbmo0955,10,,train
6635,snbmo09,What is a surprising use for a BRICK?,brick,paint it for an artwork,snbmo09_brick-26a8,2.0,snbmo09131,1,,train
6636,motesp,What is a surprising use for a TOOTHBRUSH?,toothbrush,It can be used to brush your hair instead if you have one of those automatic ones.,motesp-g1_toothbrush-16AA,2.3,16AA,,,train
6637,setal08,What is a surprising use for a BRICK?,brick,instrument (scratching sound),setal08_brick-df69,2.3,setal0849,3.0,,train
6638,bs12,What is a surprising use for a BRICK?,brick,a tool for making balance of table (my putting it under one leg),bs12_brick-21bb,1.8,bs1296,,,train
6639,motesf,What is a surprising use for a LIGHT BULB?,lightbulb,to see in a room,motesf_lightbulb-5bb2,1.3,motesfeb16,8,2.0,train
6640,hmsl,What is a surprising use for a PAPERCLIP?,paperclip,in lieu of a key/unlock doors,hmsl_paperclip-c7b2,2.2,hmslbDv6Dpf4,6.0,,train
6641,setal08,What is a surprising use for a BRICK?,brick,make a wall,setal08_brick-e015,1.0,setal0861,2.0,2.0,train
6642,motesf,What is a surprising use for a BOTTLE?,bottle,to drink out of it,motesf_bottle-880d,1.3,motesf9183,2,,train
6643,snbmo09,What is a surprising use for a BRICK?,brick,paint flowers on them,snbmo09_brick-0e68,2.0,snbmo0964,10,,train
6644,dod20,What is a surprising use for a SHOE?,shoe,burn it for warmth,dod20_shoe-569f,3.3,dod2027,4,,train
6645,bs12,What is a surprising use for a BRICK?,brick,have it hanging over your door as a personalized security system.,bs12_brick-3aa9,2.2,bs12108,,,train
6646,bs12,What is a surprising use for a BRICK?,brick,Instead of using a disc in track events  use a it  heavier,bs12_brick-4ce9,2.2,bs1243,,,train
6647,setal08,What is a surprising use for a BRICK?,brick,a well (to build),setal08_brick-3eee,1.0,setal08218,1.0,,train
6648,setal08,What is a surprising use for a KNIFE?,knife,carve an apple into a figure,setal08_knife-0b2d,1.3,setal0816,1.0,,train
6649,snb17,What is a surprising use for a BOX?,box,shipping objects,snb17_box-cea7,1.0,snb17108,,,train
6650,dod20,What is a surprising use for a BOTTLE?,bottle,decoration,dod20_bottle-4ed8,2.8,dod2048,11,6.0,train
6651,snb17,What is a surprising use for a ROPE?,rope,Blanket,snb17_rope-e151,2.0,snb17107,,,train
6652,motesf,What is a surprising use for a PENCIL?,pencil,color on the tip of the pencil (with crayon) and use the tip that you colored on on a sheet of paper,motesf_pencil-e0f8,2.4,motesf642e,1,,train
6653,dod20,What is a surprising use for a SHOE?,shoe,to make kicking easier,dod20_shoe-ceae,1.5,dod2038,3,,train
6654,hmsl,What is a surprising use for a PAPERCLIP?,paperclip,belt repair,hmsl_paperclip-8b0c,2.3,hmslt7SqCvg4,5.0,,train
6655,snbmo09,What is a surprising use for a BOX?,box,mini replica of a town,snbmo09_box-76fc,2.8,snbmo09142,11,,train
6656,motesf,What is a surprising use for a TOOTHBRUSH?,toothbrush,a mini broom,motesf_toothbrush-7e5b,3.0,motesfb83a,8,,train
6657,snb17,What is a surprising use for a ROPE?,rope,underbudget whip,snb17_rope-12fe,2.3,snb17116,,,train
6658,hmsl,What is a surprising use for a BRICK?,brick,FLOWER ARRANGEMENT,hmsl_brick-db9d,3.0,hmslCt2dB902,5.0,,train
6659,bs12,What is a surprising use for a BRICK?,brick,road block,bs12_brick-4dc4,1.0,bs1285,,,train
6660,snbmo09,What is a surprising use for a BOX?,box,hide a cat,snbmo09_box-b1a5,2.0,snbmo0911,6,,train
6661,dod20,What is a surprising use for a SHOE?,shoe,drink out of it,dod20_shoe-ae56,4.2,dod2070,1,,train
6662,setal08,What is a surprising use for a KNIFE?,knife,write a book about it,setal08_knife-1797,3.0,setal08102,7.0,,train
6663,motesf,What is a surprising use for a SPOON?,spoon,you can use it as a mirror,motesf_spoon-a742,2.4,motesf5737,4,,train
6664,setal08,What is a surprising use for a BRICK?,brick,digging a hole,setal08_brick-8c88,1.7,setal08233,3.0,,train
6665,motesp,What is a surprising use for a BOTTLE?,bottle,Poke a hole through the bottom of the cup and drink out of it.,motesp-g1_bottle-33RM,2.3,33RM,,,train
6666,dod20,What is a surprising use for a SHOVEL?,shovel,hatchet,dod20_shovel-30cc,2.3,dod203,4,,train
6667,dod20,What is a surprising use for a TABLE?,table,to chop up for firewood,dod20_table-013f,3.5,dod2043,8,,train
6668,dod20,What is a surprising use for a ROPE?,rope,to tie someone up with,dod20_rope-a87e,1.6,dod2049,0,2.0,train
6669,snbmo09,What is a surprising use for a BRICK?,brick,flowerpot substitute,snbmo09_brick-c1ba,1.5,snbmo09174,3,,train
6670,motesf,What is a surprising use for a HAT?,hat,a bag,motesf_hat-02be,3.0,motesf819f,2,,train
6671,bs12,What is a surprising use for a BRICK?,brick,door jammer,bs12_brick-51e1,1.0,bs12110,,,train
6672,dod20,What is a surprising use for PANTS?,pants,pot holder,dod20_pants-2090,3.0,dod2057,7,,train
6673,snb17,What is a surprising use for a ROPE?,rope,climb a tree,snb17_rope-0a60,1.3,snb1730,,,train
6674,hmsl,What is a surprising use for a PAPERCLIP?,paperclip,an attachment ring,hmsl_paperclip-b795,1.8,hmslG63FgMsT,8.0,,train
6675,snb17,What is a surprising use for a ROPE?,rope,you could use it as a weapon,snb17_rope-e793,1.0,snb1747,,,train
6676,hmsl,What is a surprising use for a PAPERCLIP?,paperclip,throw at people,hmsl_paperclip-9a6d,2.0,hmslpD79KXDl,4.0,,train
6677,snb17,What is a surprising use for a BOX?,box,drum,snb17_box-284f,2.1,snb17104,,9.0,train
6678,snb17,What is a surprising use for a ROPE?,rope,A stylish belt,snb17_rope-1f71,1.3,snb1713,,,train
6679,snb17,What is a surprising use for a BOX?,box,basketball goal,snb17_box-aaac,2.5,snb1767,,3.0,train
6680,hmsl,What is a surprising use for a PAPERCLIP?,paperclip,chain necklace,hmsl_paperclip-59a1,2.3,hmsliC3RI2p2,8.0,,train
6681,motesf,What is a surprising use for a TOOTHBRUSH?,toothbrush,Use it to clean other things other than your teeth.,motesf_toothbrush-d4d4,2.4,motesff61d,6,,train
6682,betal18,What is a surprising use for a ROPE?,rope,tractor pull,betal18_rope-d5cc,1.3,betal182047,,,train
6683,motesf,What is a surprising use for a SPOON?,spoon,Melting it and put it in someone's glass!,motesf_spoon-9ec0,3.6,motesf8e98,8,,train
6684,snbmo09,What is a surprising use for a BOX?,box,bed for a small animal,snbmo09_box-f1dc,1.5,snbmo0924,6,,train
6685,snbmo09,What is a surprising use for a BRICK?,brick,could be used when making sidewalks/pathways,snbmo09_brick-ef47,1.0,snbmo09102,5,,train
6686,setal08,What is a surprising use for a KNIFE?,knife,the blades could be the ticking hands on a large clock,setal08_knife-5d68,2.3,setal08188,2.0,,train
6687,betal18,What is a surprising use for a BOX?,box,use as a goal for a ball game,betal18_box-30ce,2.1,betal182133,,,train
6688,motesf,What is a surprising use for a TOOTHBRUSH?,toothbrush,the top is a spider,motesf_toothbrush-4460,3.6,motesff766,6,,train
6689,hmsl,What is a surprising use for a PAPERCLIP?,paperclip,combine with LOTS of other paperclips to make very light-weight chain mail armor,hmsl_paperclip-2252,2.2,hmslmfgxaq4c,4.0,,train
6690,setal08,What is a surprising use for a KNIFE?,knife,attract future mates by length and sharpness of knife,setal08_knife-0080,3.3,setal08149,8.0,,train
6691,betal18,What is a surprising use for a BOX?,box,Spaceship,betal18_box-f3a1,1.5,betal182104,,3.0,train
6692,setal08,What is a surprising use for a BRICK?,brick,knock someone out with,setal08_brick-d268,1.7,setal08210,3.0,,train
6693,dod20,What is a surprising use for a BOTTLE?,bottle,decorate,dod20_bottle-4f1c,2.5,dod2062,9,2.0,train
6694,dod20,What is a surprising use for PANTS?,pants,cut off legs and sew up holes then use top for a large bag,dod20_pants-1e66,3.2,dod2050,4,,train
6695,betal18,What is a surprising use for a BOX?,box,doghouse,betal18_box-d66f,1.4,betal182025,,6.0,train
6696,dod20,What is a surprising use for a TABLE?,table,kids play set,dod20_table-40c8,2.8,dod2059,2,,train
6697,hmsl,What is a surprising use for a PAPERCLIP?,paperclip,grabbing something slightly out of reach,hmsl_paperclip-05b6,2.5,hmsl77sZintI,6.0,,train
6698,snbmo09,What is a surprising use for a BRICK?,brick,mash things with it,snbmo09_brick-9b9a,1.8,snbmo0940,5,,train
6699,hmsl,What is a surprising use for a PAPERCLIP?,paperclip,guide,hmsl_paperclip-ed8e,2.3,hmslKxZ68Dlf,8.0,,train
6700,snbmo09,What is a surprising use for a KNIFE?,knife,to carve pictures into a wall,snbmo09_knife-89a8,1.5,snbmo0925,1,,train
6701,motesp,What is a surprising use for a PENCIL?,pencil,project,motesp-g1_pencil-7OJ,2.1,7OJ,,,train
6702,setal08,What is a surprising use for a KNIFE?,knife,boring holes into wood,setal08_knife-ddc1,1.3,setal08190,4.0,,train
6703,dod20,What is a surprising use for a FORK?,fork,to use to fish something out of water,dod20_fork-099e,4.0,dod202,8,,train
6704,dod20,What is a surprising use for a BRICK?,brick,build a house or objects with,dod20_brick-060b,1.0,dod2011,0,,train
6705,dod20,What is a surprising use for a TABLE?,table,use it for eating,dod20_table-773f,1.0,dod2027,0,,train
6706,snb17,What is a surprising use for a ROPE?,rope,a dress made of,snb17_rope-3c21,1.7,snb17138,,,train
6707,betal18,What is a surprising use for a ROPE?,rope,pants,betal18_rope-d2c7,1.6,betal182111,,,train
6708,snbmo09,What is a surprising use for a BOX?,box,(if surviving) use to draw water maybe at night from den,snbmo09_box-bb19,1.5,snbmo0983,5,,train
6709,hmsl,What is a surprising use for a PAPERCLIP?,paperclip,chain,hmsl_paperclip-8c3b,1.7,hmslLec2y841,6.0,3.0,train
6710,dod20,What is a surprising use for PANTS?,pants,clothes,dod20_pants-40e9,1.0,dod2037,0,3.0,train
6711,hmsl,What is a surprising use for a PAPERCLIP?,paperclip,it can be used to attach papers together,hmsl_paperclip-a0f8,1.0,hmsl57ZLnnlc,1.0,,train
6712,snb17,What is a surprising use for a ROPE?,rope,finish line,snb17_rope-5157,1.8,snb17126,,2.0,train
6713,betal18,What is a surprising use for a BOX?,box,personal movie theater,betal18_box-ee5c,3.0,betal182116,,,train
6714,setal08,What is a surprising use for a KNIFE?,knife,to fix things,setal08_knife-e708,1.7,setal0833,2.0,,train
6715,setal08,What is a surprising use for a KNIFE?,knife,key - door opener,setal08_knife-03e2,2.0,setal08101,11.0,,train
6716,snb17,What is a surprising use for a BOX?,box,To pull pranks on people with,snb17_box-526a,1.7,snb17155,,,train
6717,bs12,What is a surprising use for a BRICK?,brick,to make the yellow road,bs12_brick-48af,1.8,bs1287,,,train
6718,dod20,What is a surprising use for PANTS?,pants,layer them for warmth,dod20_pants-f409,1.5,dod2013,5,,train
6719,motesf,What is a surprising use for a SOCK?,sock,get to socks and ball it up and throw it to yourself,motesf_sock-fb81,2.1,motesf621b,3,,train
6720,setal08,What is a surprising use for a BRICK?,brick,shelving,setal08_brick-d2c2,1.3,setal0859,2.0,,train
6721,snbmo09,What is a surprising use for a KNIFE?,knife,separating 2 objects,snbmo09_knife-609e,1.8,snbmo0933,1,,train
6722,motesf,What is a surprising use for a TOOTHBRUSH?,toothbrush,use it to wipe your butt after you poo,motesf_toothbrush-0034,3.9,motesf6f3e,1,,train
6723,snbmo09,What is a surprising use for a KNIFE?,knife,to take off clothes,snbmo09_knife-f715,2.7,snbmo09187,3,,train
6724,snbmo09,What is a surprising use for a KNIFE?,knife,use more than one knife and make a wind chime,snbmo09_knife-2321,3.0,snbmo09127,4,,train
6725,motesf,What is a surprising use for a BOTTLE?,bottle,cutting it,motesf_bottle-79b0,2.1,motesf577b,3,,train
6726,motesf,What is a surprising use for a BALL?,ball,Cut a curve in the ball then put a straw and put a refreshment in it,motesf_ball-3ec6,3.6,motesf2b24,4,,train
6727,setal08,What is a surprising use for a BRICK?,brick,barn,setal08_brick-c296,1.0,setal08198,8.0,,train
6728,motesp,What is a surprising use for a HAT?,hat,you can design it and make it into more storage.,motesp-g1_hat-31MB,3.0,31MB,,,train
6729,dod20,What is a surprising use for a BOTTLE?,bottle,use as a hammer to smash nuts,dod20_bottle-2cba,3.8,dod2031,24,,train
6730,dod20,What is a surprising use for a ROPE?,rope,attach,dod20_rope-7e26,1.8,dod2037,3,,train
6731,snbmo09,What is a surprising use for a BOX?,box,to build a play fort,snbmo09_box-aa9e,1.7,snbmo0998,2,,train
6732,motesp,What is a surprising use for a BOTTLE?,bottle,you can flip it and try to make it land with your family,motesp-g1_bottle-21RM,2.8,21RM,,,train
6733,hmsl,What is a surprising use for a PAPERCLIP?,paperclip,accent or ornament,hmsl_paperclip-7a2a,2.0,hmsl4e855288,7.0,,train
6734,motesf,What is a surprising use for a TOOTHBRUSH?,toothbrush,To use it as a comb.,motesf_toothbrush-e2f8,2.7,motesf0266,4,,train
6735,setal08,What is a surprising use for a KNIFE?,knife,to hold things together,setal08_knife-bedb,1.9,setal0833,5.0,2.0,train
6736,dod20,What is a surprising use for PANTS?,pants,swim trunks,dod20_pants-f603,1.8,dod2017,3,,train
6737,setal08,What is a surprising use for a BRICK?,brick,belt buckle,setal08_brick-5639,2.7,setal087,6.0,,train
6738,dod20,What is a surprising use for PANTS?,pants,use as a blanket,dod20_pants-d416,2.5,dod208,3,,train
6739,snb17,What is a surprising use for a BOX?,box,fill with grapes and stomp for juice,snb17_box-266e,4.0,snb1724,,,train
6740,dod20,What is a surprising use for a FORK?,fork,to itch your back,dod20_fork-29f5,2.7,dod2092,3,,train
6741,hmsl,What is a surprising use for a BRICK?,brick,FIREPLACE,hmsl_brick-b9bf,1.2,hmslBB3KJdhl,5.0,,train
6742,hmsl,What is a surprising use for a BRICK?,brick,make a fake present,hmsl_brick-f546,4.0,hmslY6U1qj7v,1.0,,train
6743,snbmo09,What is a surprising use for a KNIFE?,knife,emergency tool when hunting or camping,snbmo09_knife-9d9d,1.5,snbmo09102,5,,train
6744,setal08,What is a surprising use for a BRICK?,brick,road paintings - paint on it,setal08_brick-f83f,2.0,setal08100,4.0,,train
6745,snb17,What is a surprising use for a ROPE?,rope,Jump roping,snb17_rope-ca8d,1.0,snb1732,,,train
6746,dod20,What is a surprising use for a ROPE?,rope,closure,dod20_rope-4bc3,2.2,dod2048,11,,train
6747,dod20,What is a surprising use for a TABLE?,table,spread out flowers,dod20_table-cbb6,2.5,dod2041,4,,train
6748,motesf,What is a surprising use for a SPOON?,spoon,You can bend them and make launchers.,motesf_spoon-2998,2.7,motesf3207,6,,train
6749,snbmo09,What is a surprising use for a BOX?,box,very stylish hat,snbmo09_box-0c84,2.5,snbmo09131,4,,train
